INPUT:audio	INPUT:image	OUTPUT:recording	OUTPUT:result_3d_question	OUTPUT:result_1st_question	OUTPUT:result_2nd_question	OUTPUT:result_4th_question	GOLDEN:result_3d_question	GOLDEN:result_1st_question	GOLDEN:result_2nd_question	GOLDEN:result_4th_question	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://storage.yandexcloud.net/toloka-chebotarev/TextC_1.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/9.png	eu.3193b911-6318-4aa9-9384-31da12a95dab	No	No	No	No							https://platform.toloka.ai/task/42988874/00028ff54a--6647a93b08b4dc57a58e132b	00028ff54a--663e4beaa3bd7d244d34127c	00028ff54a--6647a93b08b4dc57a58e132b	de4a0963e3c78355f6fb0a0457a63e8c	APPROVED	2024-05-17T19:00:11.882	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextC_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/6.png	eu.f8b4fffd-1897-4629-a7d3-a695baf8b830	No	Yes	Yes	No							https://platform.toloka.ai/task/42988874/00028ff54a--6647e9f292d8492c18379cb6	00028ff54a--663e4beaa3bd7d244d341252	00028ff54a--6647e9f292d8492c18379cb6	ded8f8d3172fc520583b3f51c1d2c08c	APPROVED	2024-05-17T23:36:18.848	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextC_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/6.png	eu.f9457bf7-8b9f-44a8-83d3-0d13e89d4b23	No	Yes	Yes	No							https://platform.toloka.ai/task/42988874/00028ff54a--664871f31b166d1e1072a3a7	00028ff54a--663e4beaa3bd7d244d341252	00028ff54a--664871f31b166d1e1072a3a7	5dec03dc6305985b2c1f745433f1ec10	APPROVED	2024-05-18T09:16:35.295	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextC_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/6.png	eu.3ef06f5b-edaa-4a88-a96a-9202f6506b48	No	Yes	Yes	No							https://platform.toloka.ai/task/42988874/00028ff54a--6648782b92d8492c18403fe4	00028ff54a--663e4beaa3bd7d244d341252	00028ff54a--6648782b92d8492c18403fe4	a2ba5c3cea49895869440f93b426a7cf	APPROVED	2024-05-18T09:43:07.655	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav	https://storage.yandexcloud.net/toloka-chebotarev/8.png	eu.797301a4-4f64-4bfd-a18b-61a8b8fbccf0	None of the above	No	No	None of the above							https://platform.toloka.ai/task/42988874/00028ff54a--6648903d5a649d7d7f20ac4e	00028ff54a--663e4beaa3bd7d244d34126c	00028ff54a--6648903d5a649d7d7f20ac4e	97d51cea4ff9b81247c409163717e19c	APPROVED	2024-05-18T11:25:49.617	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.029e0424-b113-492d-8973-6dd21a194e8e	No	No	No	No							https://platform.toloka.ai/task/42988874/00028ff54a--6648a47b1b166d1e107617c4	00028ff54a--663e4beaa3bd7d244d341248	00028ff54a--6648a47b1b166d1e107617c4	3868b0745d83d0fbf166591cb2b651ee	APPROVED	2024-05-18T12:52:11.238	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.8f0d309f-7d0d-4597-b3fe-20eacf4c6260	None of the above	No	No	None of the above							https://platform.toloka.ai/task/42988874/00028ff54a--6648baee1b166d1e1077752e	00028ff54a--663e4beaa3bd7d244d341248	00028ff54a--6648baee1b166d1e1077752e	8bb8235e7a9df97a2a55f8c9911a28a7	APPROVED	2024-05-18T14:27:58.515	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav	https://storage.yandexcloud.net/toloka-chebotarev/8.png	eu.6c479053-e4ab-44be-9c28-566324e58c00	No	No	No	No							https://platform.toloka.ai/task/42988874/00028ff54a--6648ca6a46643a735b4255de	00028ff54a--663e4beaa3bd7d244d34126c	00028ff54a--6648ca6a46643a735b4255de	9f817532f8c32d11ed2a93cfe0879bdd	APPROVED	2024-05-18T15:34:02.873	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav	https://storage.yandexcloud.net/toloka-chebotarev/8.png	eu.020ae3fd-2a11-49b0-87aa-655f98b3b8b1	None of the above	No	No	None of the above							https://platform.toloka.ai/task/42988874/00028ff54a--6649e84a1b166d1e1081fbac	00028ff54a--663e4beaa3bd7d244d34126c	00028ff54a--6649e84a1b166d1e1081fbac	75e9add90bcb1bcb2746e1987c8e41ba	APPROVED	2024-05-19T11:53:46.401	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextC_1.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/9.png	eu.c35a07c6-071d-49d3-aedd-61d324a7424f	Yes	No	No	No							https://platform.toloka.ai/task/42988874/00028ff54a--664a00c6fb6c1e0937c63ad2	00028ff54a--663e4beaa3bd7d244d34127c	00028ff54a--664a00c6fb6c1e0937c63ad2	641bd9ffdb17aff057f58308e4eead14	APPROVED	2024-05-19T13:38:14.062	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.57dd4853-98de-49a8-965d-a82aaa0630c2	Yes	Yes	Yes	Yes							https://platform.toloka.ai/task/42988874/00028ff54a--664a2c90fb6c1e0937c806ab	00028ff54a--663e4beaa3bd7d244d341248	00028ff54a--664a2c90fb6c1e0937c806ab	31d281ea12dbadbff65dc7c0312c7955	APPROVED	2024-05-19T16:45:04.950	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextC_1.2.mp4	https://storage.yandexcloud.net/toloka-chebotarev/10.png	eu.a1ed51db-b177-4cd0-a978-86486bc0a733	Yes	No	Yes	Yes							https://platform.toloka.ai/task/42988874/00028ff54a--664a3ad95a649d7d7f31b882	00028ff54a--663e4beaa3bd7d244d341286	00028ff54a--664a3ad95a649d7d7f31b882	0c15cd4cd9f5b6316c392a69846af0c9	APPROVED	2024-05-19T17:46:01.353	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextC_1.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/7.png	eu.e4a207d8-8af6-4055-9d31-5605dff4658a	Yes	Yes	Yes	Yes							https://platform.toloka.ai/task/42988874/00028ff54a--664a3e5f5a649d7d7f31d956	00028ff54a--663e4beaa3bd7d244d341264	00028ff54a--664a3e5f5a649d7d7f31d956	f8df785e3a385c742f734fd0827d0484	APPROVED	2024-05-19T18:01:03.251	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav	https://storage.yandexcloud.net/toloka-chebotarev/8.png	eu.c6c8858b-574c-4389-ab5e-4127263c34ff	Yes	Yes	Yes	Yes							https://platform.toloka.ai/task/42988874/00028ff54a--664aef79fb6c1e0937ce5b5a	00028ff54a--663e4beaa3bd7d244d34126c	00028ff54a--664aef79fb6c1e0937ce5b5a	54968827e1ffc7a9751a26d7b44675d0	APPROVED	2024-05-20T06:36:41.224	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextC_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/6.png	eu.9a6732f6-c315-4e5f-8d67-b3f5e73f2a77	No	Yes	Yes	No							https://platform.toloka.ai/task/42988874/00028ff54a--664b16ad5a649d7d7f38d629	00028ff54a--663e4beaa3bd7d244d341252	00028ff54a--664b16ad5a649d7d7f38d629	e2f0d277862792734a04291f00bcd13d	APPROVED	2024-05-20T09:23:57.260	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextC_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/6.png	eu.9f181828-4444-46d2-96c0-90b00854357c	Yes	No	Yes	No							https://platform.toloka.ai/task/42988874/00028ff54a--664b292892d8492c185c1d7f	00028ff54a--663e4beaa3bd7d244d341252	00028ff54a--664b292892d8492c185c1d7f	184f7142868b431137e0ab7b0275b6d5	APPROVED	2024-05-20T10:42:48.475	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextC_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/6.png	eu.89ab601d-66d1-4224-8f20-1057cb391aa5	No	Yes	Yes	No							https://platform.toloka.ai/task/42988874/00028ff54a--664b2dd492d8492c185c7c18	00028ff54a--663e4beaa3bd7d244d341252	00028ff54a--664b2dd492d8492c185c7c18	805e3d6c1010bc386032153b9612b4b0	APPROVED	2024-05-20T11:02:44.511	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextC_0.8.mp4	https://storage.yandexcloud.net/toloka-chebotarev/4.png	eu.1d2f1938-c488-4d69-9655-01bf17255475	No	Yes	Yes	No							https://platform.toloka.ai/task/42988874/00028ff54a--664b65fb5a649d7d7f40e5b7	00028ff54a--663e4beaa3bd7d244d341238	00028ff54a--664b65fb5a649d7d7f40e5b7	fe7307c3a5a0c53e69376ac7ceff408e	APPROVED	2024-05-20T15:02:19.256	+	
