INPUT:audio	INPUT:image	OUTPUT:recording	OUTPUT:result_3d_question	OUTPUT:result_1st_question	OUTPUT:result_2nd_question	OUTPUT:result_4th_question	GOLDEN:result_3d_question	GOLDEN:result_1st_question	GOLDEN:result_2nd_question	GOLDEN:result_4th_question	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.2f7a7b9b-97a8-40eb-b61e-f810769b2b2d	No	Yes	Yes	Yes							https://platform.toloka.ai/task/42965288/00028f9928--662bd15ecb201c62ab61c47d	00028f9928--662bd00df6eb632909e7793d	00028f9928--662bd15ecb201c62ab61c47d	3b3bdf4cf0813fb9c6972ec04598db98	APPROVED	2024-04-26T16:07:58.792	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.2e465bc5-01fb-4713-8bd4-2635334f89e6	No	No	Yes	Yes							https://platform.toloka.ai/task/42965288/00028f9928--662bd164f6eb632909e7a63e	00028f9928--662bd00df6eb632909e7793d	00028f9928--662bd164f6eb632909e7a63e	2b008289cdbad81f8199ec396a85a28b	APPROVED	2024-04-26T16:08:04.600	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.92913b1a-dff2-421b-9759-95c5990f589f	Yes	No	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd16cf6eb632909e7b0d6	00028f9928--662bd00df6eb632909e7795f	00028f9928--662bd16cf6eb632909e7b0d6	8c7b287b7856787d0cd425ec6e916ccd	APPROVED	2024-04-26T16:08:12.610	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.eb75826e-b1f8-4558-8cfc-8aef202a4a3a	No	No	Yes	Yes							https://platform.toloka.ai/task/42965288/00028f9928--662bd18c375e107843bef521	00028f9928--662bd00df6eb632909e7793f	00028f9928--662bd18c375e107843bef521	1cf794af1ad320b6546da174a5fd961e	APPROVED	2024-04-26T16:08:44.115	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.64403386-40da-4adc-924f-4da75289dd50	Yes	No	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd1becb201c62ab61cbca	00028f9928--662bd00df6eb632909e7795f	00028f9928--662bd1becb201c62ab61cbca	772481febd134ed6b675624d664b70db	APPROVED	2024-04-26T16:09:34.483	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.142c88af-051f-40dd-8c07-bd1246f19ef3	Yes	No	No	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd1d3f81b996bc6148b39	00028f9928--662bd00df6eb632909e7795f	00028f9928--662bd1d3f81b996bc6148b39	57b7315a6a7c80bdae603cbeee89dcc7	APPROVED	2024-04-26T16:09:55.424	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.53258651-2741-4f75-b3df-e09444c2d593	No	Yes	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd200f81b996bc6148eea	00028f9928--662bd00df6eb632909e7793f	00028f9928--662bd200f81b996bc6148eea	386e4f501f44f7f5d014e01756d36f67	APPROVED	2024-04-26T16:10:40.476	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4	https://storage.yandexcloud.net/toloka-chebotarev/9.png	eu.aa90600e-8712-49b4-aa18-2f0d6775bae4	Yes	No	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd22d375e107843bf00c6	00028f9928--662bd00df6eb632909e7798d	00028f9928--662bd22d375e107843bf00c6	f7176cefb48eef665ff762f59151997a	APPROVED	2024-04-26T16:11:25.589	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.f376300d-0c5b-43f5-98e8-f16cf43acea2	Yes	No	No	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd232567f51718c87660e	00028f9928--662bd00df6eb632909e77945	00028f9928--662bd232567f51718c87660e	1f41c5f6ffdae99187f5fd32f75be2c7	APPROVED	2024-04-26T16:11:30.147	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4	https://storage.yandexcloud.net/toloka-chebotarev/9.png	eu.95619402-5a78-4675-bded-07c85ea67a5f	Yes	No	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd25cf6eb632909e7c139	00028f9928--662bd00df6eb632909e7798d	00028f9928--662bd25cf6eb632909e7c139	a1bb405d2f97b457e293a4b572ba4674	APPROVED	2024-04-26T16:12:12.488	+	
